Direction,time,Rate
Read,2023-6-29-09:06:49,2056.1
Write,2023-6-29-09:06:49,2054.5
Write,2023-6-29-09:06:49,2054.8
Read,2023-6-29-09:06:49,2048.4
Read,2023-6-29-09:06:50,2062.3
Write,2023-6-29-09:06:50,2055.8
Read,2023-6-29-09:06:50,2054.9
Write,2023-6-29-09:06:50,2055.2
Read,2023-6-29-09:06:51,2055.6
Write,2023-6-29-09:06:51,2055.4
Read,2023-6-29-09:06:51,2055.3
Write,2023-6-29-09:06:51,2055.1
Read,2023-6-29-09:06:52,2054.9
Write,2023-6-29-09:06:52,2055.1
Read,2023-6-29-09:06:52,2054.9
Write,2023-6-29-09:06:52,2055.4
Read,2023-6-29-09:06:53,2056.1
Write,2023-6-29-09:06:53,2054.9
Write,2023-6-29-09:06:53,2053.8
Read,2023-6-29-09:06:53,2044.2
Read,2023-6-29-09:06:54,2066.1
Write,2023-6-29-09:06:54,2056.4
Read,2023-6-29-09:06:54,2054.3
Write,2023-6-29-09:06:54,2055.1
Read,2023-6-29-09:06:55,2056.4
Write,2023-6-29-09:06:55,2055.9
Read,2023-6-29-09:06:55,2055.7
Write,2023-6-29-09:06:55,2055.9
Read,2023-6-29-09:06:56,2055.9
Write,2023-6-29-09:06:56,2055.8
Read,2023-6-29-09:06:56,2056.1
Write,2023-6-29-09:06:56,2053.1
Read,2023-6-29-09:06:57,2055.5
Write,2023-6-29-09:06:57,2058.7
Read,2023-6-29-09:06:57,2055.3
Write,2023-6-29-09:06:57,2055.9
Read,2023-6-29-09:06:58,2056.1
Write,2023-6-29-09:06:58,2055.3
Read,2023-6-29-09:06:58,2056.2
Write,2023-6-29-09:06:58,2056.2
Read,2023-6-29-09:06:59,2055.6
Write,2023-6-29-09:06:59,2054.7
Read,2023-6-29-09:06:59,2054.8
Write,2023-6-29-09:06:59,2051.0
Read,2023-6-29-09:07:00,2056.2
Write,2023-6-29-09:07:00,2061.5
Read,2023-6-29-09:07:00,2056.4
Write,2023-6-29-09:07:00,2055.9
Read,2023-6-29-09:07:01,2055.3
Write,2023-6-29-09:07:01,2055.8
Read,2023-6-29-09:07:01,2056.1
Write,2023-6-29-09:07:01,2049.2
Read,2023-6-29-09:07:02,2055.3
Write,2023-6-29-09:07:02,2054.6
Read,2023-6-29-09:07:02,2055.7
Write,2023-6-29-09:07:02,2063.6
Read,2023-6-29-09:07:03,2056.2
Write,2023-6-29-09:07:03,2055.8
Read,2023-6-29-09:07:03,2056.2
Write,2023-6-29-09:07:03,2054.8
Read,2023-6-29-09:07:04,2055.7
Write,2023-6-29-09:07:04,2054.7
