,Direction,time,Rate
0,Read,2023-6-29-09:06:49,2056.1
1,Write,2023-6-29-09:06:49,2054.5
2,Write,2023-6-29-09:06:49,2054.8
3,Read,2023-6-29-09:06:49,2048.4
4,Read,2023-6-29-09:06:50,2062.3
5,Write,2023-6-29-09:06:50,2055.8
6,Read,2023-6-29-09:06:50,2054.9
7,Write,2023-6-29-09:06:50,2055.2
8,Read,2023-6-29-09:06:51,2055.6
9,Write,2023-6-29-09:06:51,2055.4
10,Read,2023-6-29-09:06:51,2055.3
11,Write,2023-6-29-09:06:51,2055.1
12,Read,2023-6-29-09:06:52,2054.9
13,Write,2023-6-29-09:06:52,2055.1
14,Read,2023-6-29-09:06:52,2054.9
15,Write,2023-6-29-09:06:52,2055.4
16,Read,2023-6-29-09:06:53,2056.1
17,Write,2023-6-29-09:06:53,2054.9
18,Write,2023-6-29-09:06:53,2053.8
19,Read,2023-6-29-09:06:53,2044.2
20,Read,2023-6-29-09:06:54,2066.1
21,Write,2023-6-29-09:06:54,2056.4
22,Read,2023-6-29-09:06:54,2054.3
23,Write,2023-6-29-09:06:54,2055.1
24,Read,2023-6-29-09:06:55,2056.4
25,Write,2023-6-29-09:06:55,2055.9
26,Read,2023-6-29-09:06:55,2055.7
27,Write,2023-6-29-09:06:55,2055.9
28,Read,2023-6-29-09:06:56,2055.9
29,Write,2023-6-29-09:06:56,2055.8
30,Read,2023-6-29-09:06:56,2056.1
31,Write,2023-6-29-09:06:56,2053.1
32,Read,2023-6-29-09:06:57,2055.5
33,Write,2023-6-29-09:06:57,2058.7
34,Read,2023-6-29-09:06:57,2055.3
35,Write,2023-6-29-09:06:57,2055.9
36,Read,2023-6-29-09:06:58,2056.1
37,Write,2023-6-29-09:06:58,2055.3
38,Read,2023-6-29-09:06:58,2056.2
39,Write,2023-6-29-09:06:58,2056.2
40,Read,2023-6-29-09:06:59,2055.6
41,Write,2023-6-29-09:06:59,2054.7
42,Read,2023-6-29-09:06:59,2054.8
43,Write,2023-6-29-09:06:59,2051.0
44,Read,2023-6-29-09:07:00,2056.2
45,Write,2023-6-29-09:07:00,2061.5
46,Read,2023-6-29-09:07:00,2056.4
47,Write,2023-6-29-09:07:00,2055.9
